draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2012,22,0,82.0,83.75,88.0,108.0,29.5,137.5,26.5,241,7.7,9.25,10.0,121,4.9,1,1,0.479,0.12,0.65,0,0,1,0,135,
2009,20,6,71.25,72.75,76.0,95.5,40.0,135.5,33.0,196,6.3,8.153553396218342,8.937596049475733,73,16.6,1,1,0.46,0.33,0.78,1,0,0,1,163,
2015,22,56,77.5,78.75,83.0,105.0,34.5,139.5,28.5,230,5.8,9.0,8.75,130,10.1,1,1,0.5589999999999999,0.0,0.56,0,1,0,1,6,
2010,21,34,74.0,75.25,80.0,99.5,38.5,138.0,31.5,195,5.6,8.25,9.25,101,14.3,1,1,0.467,0.29,0.75,1,0,0,1,47,
2009,27,0,76.25,77.5,81.0,102.5,33.5,136.0,27.0,211,7.1,8.60663098630467,9.305863884077402,130,15.7,1,1,0.426,0.36,0.78,1,0,0,0,31,
2013,20,12,82.75,84.0,88.5,109.5,33.0,142.5,28.5,255,6.7,9.5,11.0,32,7.2,1,1,0.5710000000000001,0.0,0.44,0,0,1,1,385,
2015,19,11,81.75,83.5,88.0,112.0,31.713778731530915,142.64880016587796,27.49450553141851,239,9.3,9.25,9.25,34,10.1,1,1,0.455,0.27,0.84,0,0,1,1,205,
2012,21,28,82.25,83.25,85.75,107.0,38.5,145.5,33.0,234,4.6,9.25,9.5,63,13.7,1,1,0.522,0.28,0.68,0,1,0,1,143,
2009,22,8,81.25,82.25,85.5,108.0,35.0,143.0,31.0,232,6.0,9.014400817382366,9.637304935218904,97,12.5,1,1,0.578,0.0,0.64,0,0,1,1,409,
2011,19,19,78.5,79.75,83.0,103.5,37.5,141.0,31.5,223,8.4,8.75,9.0,34,15.3,1,1,0.46,0.3,0.75,0,1,0,1,462,
2014,22,26,76.25,77.25,81.0,101.0,37.0,138.0,32.0,229,8.2,8.75,9.75,71,10.0,1,1,0.38799999999999996,0.35,0.8,1,1,0,1,111,
2011,20,8,73.5,75.25,78.75,98.5,37.5,136.0,29.0,177,4.2,8.25,9.5,38,17.3,1,1,0.423,0.38,0.8,1,0,0,1,382,
2010,22,50,83.5,84.75,89.0,113.0,26.0,139.0,22.5,237,5.0,9.25,9.25,77,9.1,1,1,0.534,0.0,0.75,0,0,1,1,26,
