name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
DeAndre Liggins,122,University of Kentucky,2011,23,53,77,78.25,83,103.5,31,134.5,27,202,5,8.75,10,100,5.8,1,1,0.407,0.33,0.64,1,0,0,1,175,
E'Twaun Moore,123,Purdue University,2011,22,55,74.5,76,81.5,99.5,34.5,134,32,191,7.6,9,10,140,15.3,1,1,0.44,0.38,0.73,1,0,0,1,460,
Isaiah Thomas,124,University of Washington,2011,22,60,68.75,70.25,73.75,91.5,40,131.5,31.5,186,6.7,8.25,9,105,16.4,1,1,0.426,0.33,0.71,1,0,0,1,473,
Brandon Knight,125,University of Kentucky,2011,20,8,73.5,75.25,78.75,98.5,37.5,136,29,177,4.2,8.25,9.5,38,17.3,1,1,0.423,0.38,0.8,1,0,0,1,382,
Kemba Walker,126,University of Connecticut,2011,21,9,71.5,73,75.5,91.5,39.5,131,32,184,5.9,8,9,111,16.1,1,1,0.428,0.33,0.78,1,0,0,1,522,
Greg Smith,127,Western Kentucky University,2011,21,0,80,81.25,86.5,106.5,36,142.5,29.5,253,7.4,9.75,12,0,0,1,1,0,0,0,0,1,0,0,524,
Malcolm Thomas,128,"Pepperdine University, San Diego State University",2011,23,0,79.5,80.75,84.5,107.5,36.5,144,32,223,5.9,9.5,10.5,103,11.6,1,1,0.53,0.24,0.58,0,1,0,0,40,
Scotty Hopson,129,University of Tennessee,2011,24,0,77.75,78.5,82.5,103.5,36,139.5,32.5,205,4.8,8.5,10,103,12.7,1,1,0.444,0.35,0.67,1,0,0,0,3,
Anthony Davis,130,University of Kentucky,2012,19,1,81.25,82.5,89.5,108,,,,222,7.9,9,8.5,40,14.2,1,1,0.623,0.15,0.71,0,1,0,1,408,
Austin Rivers,131,Duke University,2012,20,10,75.5,77,79.25,96.5,37.5,134,32.5,203,6.2,8.5,10,34,15.5,1,1,0.433,0.37,0.66,1,0,0,1,407,
Meyers Leonard,132,University of Illinois at Urbana-Champaign,2012,20,11,83.75,85.25,87,108,32.5,140.5,30,250,5.7,9.25,11,65,7.7,1,1,0.567,0.08,0.73,0,0,1,1,331,
Jeremy Lamb,133,University of Connecticut,2012,20,12,76,77.25,83,102,38,140,31.5,179,4.5,8.75,9.25,75,14.1,1,1,0.482,0.35,0.81,1,1,0,1,355,
Kendall Marshall,134,University of North Carolina,2012,21,13,75.25,76.25,77.5,96,37,133,31,198,7.8,8.5,9,73,7.2,1,1,0.446,0.37,0.69,1,0,0,1,160,
John Henson,135,University of North Carolina,2012,22,14,81,82.5,89,112,30,142,25.5,216,8.6,9.25,10,109,10.3,1,1,0.497,0.21,0.48,0,0,1,1,389,
Maurice Harkless,136,St. John's University,2012,19,15,79.25,80.75,84,102.5,37,139.5,32.5,207,5.3,9.25,10.25,32,15.5,1,1,0.452,0.22,0.68,0,1,0,1,415,
Royce White,137,Iowa State University,2012,22,16,79,80,84,104.5,,,,261,10.6,9.5,11.5,34,13.4,1,1,0.534,0.33,0.5,0,1,0,1,3,
Tyler Zeller,138,University of North Carolina,2012,22,17,83.25,84.5,84,104.5,34,138.5,30,247,6.4,9,9.75,117,12.8,1,1,0.543,0,0.78,0,1,0,1,404,
